"credit.policy","purpose","int.rate","installment","log.annual.inc","dti","fico","days.with.cr.line","revol.bal","revol.util","inq.last.6mths","delinq.2yrs","pub.rec","not.fully.paid"
1,"all_other",0.1426,686.12,11.45158183,24.77,687,3690,17816,70.4,0,0,0,0
1,"debt_consolidation",0.1218,299.7,10.81977828,19.42,707,3989.958333,4711,77.2,3,0,0,0
0,"debt_consolidation",0.1221,319.83,11.48246626,23.72,712,5639.958333,116325,3.7,0,0,0,0
1,"all_other",0.0988,483.16,11.35040654,0.21,797,5550,365,3.7,0,0,0,0
1,"all_other",0.1322,40.57,11.21182037,9.75,672,4457,8396,55.2,0,1,0,0
1,"all_other",0.1284,47.07,8.494538501,17.68,722,2100,0,2.5,3,0,0,0
0,"debt_consolidation",0.1635,169.58,10.81977828,6.96,732,4531,381,8.7,9,1,0,0
1,"debt_consolidation",0.1126,558.68,11.08220409,4.41,762,6570,1878,7.2,0,0,0,0
1,"major_purchase",0.1183,662.68,10.76789534,6.77,812,3656,879,4.3,0,0,0,0
1,"debt_consolidation",0.1253,401.6,10.81977828,16.08,712,5430,15244,66.6,0,0,1,0
1,"debt_consolidation",0.1253,167.34,10.54534144,19.14,682,2220,19876,77,0,0,0,0
0,"debt_consolidation",0.1533,364.82,10.59663473,11.76,647,1019.958333,12274,66.3,2,0,0,0
1,"credit_card",0.0859,316.11,11.49799455,4.46,757,5282.041667,37334,55.4,0,0,0,0
0,"debt_consolidation",0.1531,292.45,11.22524339,13.44,677,7169.958333,6837,26.7,7,0,0,1
0,"educational",0.0838,94.54,9.903487553,6.72,732,3149.958333,7021,27.4,9,0,0,0
0,"home_improvement",0.1392,409.65,11.28978191,8.36,717,2849.958333,10942,13.7,7,0,0,0
1,"credit_card",0.1462,861.99,11.98292909,9.04,682,5369.958333,9925,45.1,1,2,0,1
1,"debt_consolidation",0.1148,164.85,10.0387175,8.54,732,2039.958333,1517,22.3,0,0,0,0
1,"credit_card",0.08,219.36,11.13470581,8.22,752,8580.041667,2932,17.2,0,0,0,0
1,"debt_consolidation",0.1253,284.47,10.1266311,18.72,687,1979.958333,13604,52.5,0,0,0,0
1,"all_other",0.1103,327.53,10.42228135,2.61,697,2370.041667,2952,30.1,2,0,0,0
1,"debt_consolidation",0.1287,252.25,10.6454249,8.31,687,3000.041667,8091,30.9,1,0,0,0
1,"debt_consolidation",0.1253,811.56,12.20607265,10.84,727,5580,72210,73.7,0,0,0,0
1,"debt_consolidation",0.1148,478.05,11.27720313,6.88,752,7592,18003,35,5,0,0,0
0,"debt_consolidation",0.1284,251.3,9.952277717,16.17,702,2760,27216,58.5,0,0,0,0
1,"credit_card",0.0751,342.21,10.58405595,8.87,757,4290.041667,11157,45,0,0,0,0
0,"debt_consolidation",0.1505,173.46,11.58988651,8.2,662,14529,8209,50,5,0,0,0
1,"debt_consolidation",0.16,457.05,11.41861479,23.89,662,2190,58686,80.8,2,0,0,0
1,"debt_consolidation",0.1312,162.01,11.35040654,16.87,707,9059.958333,34776,54.3,0,0,0,1
1,"debt_consolidation",0.1496,372.44,10.54534144,22.45,672,3367.041667,15146,77.3,1,1,0,0
0,"debt_consolidation",0.1551,230.45,11.98292909,25.11,692,5159,127093,76.6,2,0,0,0
1,"all_other",0.0774,312.19,10.81977828,0.86,772,5190.041667,2232,6.5,0,0,0,0
1,"debt_consolidation",0.1284,336.18,10.81977828,17.26,707,5580.041667,12013,42.5,3,1,0,0
1,"debt_consolidation",0.0863,98.84,10.34817337,1.92,732,5549.958333,814,3.8,0,0,0,0
0,"debt_consolidation",0.1734,573.16,10.71708089,16.44,652,1859.958333,12700,92,3,0,0,0
1,"credit_card",0.0788,375.37,10.37349118,11.93,767,3600,13405,27,0,0,0,0
0,"all_other",0.1028,113.39,12.10071213,10,687,3990,0,21.7,4,0,0,0
0,"debt_consolidation",0.1343,142.39,10.30895266,13.16,647,3660,2153,86.1,3,0,0,0
1,"small_business",0.1474,34.54,9.210340372,1.2,667,1860,437,9.7,0,1,0,0
0,"all_other",0.0743,49.72,8.160518247,5.14,752,930.0416667,506,5.9,0,0,0,0
1,"all_other",0.1183,265.08,10.91508846,17.72,712,3705,21470,85.5,0,0,0,0
1,"debt_consolidation",0.1322,270.41,10.46310334,9.02,682,2280.041667,7844,84.3,1,0,0,0
1,"educational",0.1189,132.66,11.12732181,19.76,707,3990,24802,86.4,3,0,0,1
1,"all_other",0.1008,177.68,11.88448902,5.53,707,5611.958333,26681,41.4,2,0,0,0
1,"credit_card",0.0894,158.86,11.43712375,15.02,732,6212,83356,41.7,0,0,0,0
1,"credit_card",0.1166,101.64,11.51292546,20.53,702,7079.958333,91557,87.8,0,0,0,1
1,"credit_card",0.1114,328.04,11.49679608,12.45,732,4890.041667,33186,57.8,3,0,0,0
1,"all_other",0.1209,199.55,11.3224427,18.06,682,3030.041667,23958,87.1,0,0,0,0
1,"debt_consolidation",0.1114,262.43,11.73606902,13.61,722,5399.958333,41568,48.6,3,0,0,0
0,"home_improvement",0.1122,67.33,11.47210347,25,707,4202.958333,74292,94.6,0,0,0,0
1,"debt_consolidation",0.1148,263.75,10.49127422,2.9,727,1800,2980,31.7,1,0,0,0
1,"debt_consolidation",0.1607,612.38,11.51292546,9.9,667,7772.041667,12487,72.2,2,0,0,0
0,"debt_consolidation",0.1357,254.77,10.53209621,13.02,687,2130,9451,33.3,4,0,0,1
0,"credit_card",0.1482,414.93,11.23434848,10.24,652,1889.958333,19512,38.3,1,1,0,0
1,"credit_card",0.0988,249.64,10.62132735,24.64,722,5940,10836,63,3,0,0,0
1,"all_other",0.1253,301.2,10.59663473,0.9,732,15420.95833,114,2.8,0,0,0,0
1,"small_business",0.0996,417.62,11.42954386,6.48,712,5610.041667,2598,23.8,1,0,0,0
1,"credit_card",0.1126,410.8,10.858999,12.21,732,3180,12568,57.7,2,0,0,0
1,"credit_card",0.1218,832.5,11.51292546,18.3,747,7350,68,0.6,0,0,0,0
1,"debt_consolidation",0.1148,454.97,10.67359577,23.61,752,8679.958333,6698,67,0,0,0,0
1,"credit_card",0.1347,169.62,11.31447453,15.2,682,5334.041667,28637,63.3,0,1,0,0
1,"credit_card",0.0963,224.66,10.62132735,13.79,732,2850,20571,49.6,0,0,0,0
1,"all_other",0.1505,173.46,11.35040654,14.04,672,5490,9952,97.6,1,0,0,0
0,"debt_consolidation",0.0712,61.87,11.91839057,5.6,802,8489.958333,150786,2.2,0,0,0,0
1,"all_other",0.1126,312.21,11.1844214,3.73,747,2070,700,14.6,7,0,0,0
1,"major_purchase",0.08,112.81,10.46321762,2.23,737,4589.958333,5015,8.2,1,0,0,0
1,"debt_consolidation",0.0832,377.82,11.40756495,1.63,792,5729.041667,4359,15.3,0,0,0,0
1,"all_other",0.1218,499.5,11.59542669,12.25,727,6035,24573,87.4,1,0,0,0
1,"all_other",0.0768,155.96,11.69524702,1.27,772,4499.958333,5081,5.1,3,0,0,0
1,"small_business",0.16,281.26,11.15625052,17.21,752,4380,26596,35.6,7,0,0,0
0,"debt_consolidation",0.1197,194.22,11.60827201,11.62,677,4290,15038,93.3,4,0,0,0
1,"all_other",0.1148,327.22,10.71441777,12.67,732,2913,696,2.7,3,1,0,0
1,"credit_card",0.0832,201.5,10.81977828,13.99,752,5040.041667,64885,39.6,0,0,0,0
1,"debt_consolidation",0.1287,403.6,10.37349118,21.68,737,4559.041667,7370,85.7,1,0,0,1
1,"home_improvement",0.08,235.03,10.77895629,4.28,812,7950,52,0.3,0,0,0,0
1,"debt_consolidation",0.1316,506.56,10.84028655,21.44,707,4020,19855,74.1,1,0,0,0
1,"all_other",0.1253,80.32,9.998615898,23.73,707,1620.041667,3228,38.4,3,0,0,0
0,"all_other",0.0901,95.42,10.46310334,10,717,4770,0,14,3,0,0,0
0,"all_other",0.1387,255.86,12.01370075,20.95,672,6389.958333,14289,34.3,5,1,0,0
1,"all_other",0.0832,236.14,10.53677857,9.01,762,2881,4007,24,0,0,0,0
1,"credit_card",0.0894,155.69,10.81977828,10.66,757,3301,5076,22.7,0,0,0,0
1,"debt_consolidation",0.16,168.76,11.49272276,6.06,662,5010,72289,97.2,0,0,0,0
1,"credit_card",0.1114,82.01,10.30895266,19.88,757,2280.041667,1781,35.6,0,0,0,0
1,"all_other",0.0832,174.74,11.31447453,4.36,752,3420,26040,49.1,3,0,0,0
1,"educational",0.1154,211.17,11.46163217,1.83,667,3421.041667,11200,23.2,1,0,0,0
0,"small_business",0.0933,178.94,11.46163217,0.13,702,210,327,21.8,1,0,0,0
1,"debt_consolidation",0.1014,129.34,10.49127422,7.07,697,1560.041667,4220,53.4,2,0,0,0
1,"all_other",0.0774,249.75,11.54244543,15.47,802,4620.958333,6498,11.6,2,0,0,0
1,"home_improvement",0.0863,159.73,11.28983191,1.84,727,4530,2733,15.4,1,0,0,0
1,"debt_consolidation",0.1183,497.01,11.0544285,15.87,732,8460,26127,44.8,1,0,0,1
1,"debt_consolidation",0.0945,409.73,11.51292546,10.51,742,3900.041667,15491,25.4,3,0,0,0
0,"debt_consolidation",0.1663,287.31,10.91501573,22.71,667,6071,16194,84.8,5,0,0,1
1,"debt_consolidation",0.0932,191.69,11.15310271,4.06,747,2250,5307,12.8,1,0,0,0
1,"debt_consolidation",0.1322,676.02,11.35040654,16.63,707,4529.958333,25299,58.2,2,0,0,0
1,"debt_consolidation",0.1411,342.29,10.30895266,13.96,672,4620,12022,20,3,0,0,0
1,"all_other",0.1095,261.71,10.04966366,14.46,727,3510,7251,25.6,1,0,0,1
1,"debt_consolidation",0.1287,235.44,11.40756495,24.76,687,8416,26241,57.4,1,0,0,0
1,"major_purchase",0.074,124.24,10.23995979,1.89,797,8100,2198,8.7,0,0,0,0
0,"all_other",0.1861,291.68,12.30138283,6.87,647,4049.958333,378,5,0,11,1,0
1,"debt_consolidation",0.1122,656.86,10.55986701,14.04,702,1800,21777,53.7,3,0,0,0
1,"debt_consolidation",0.1461,344.76,10.30895266,11.36,672,2429.958333,10544,57,1,2,0,0
1,"debt_consolidation",0.1774,720.42,11.14908203,23.17,662,7170.041667,24390,64,0,0,0,0
1,"all_other",0.074,71.44,10.50232405,18.59,762,5640.041667,2177,7.3,2,0,0,0
1,"debt_consolidation",0.0768,212.1,10.54828447,22.98,772,3686,3041,7.7,3,0,0,0
1,"all_other",0.1316,67.55,10.18490001,14.54,717,2820.041667,0,0,2,0,0,0
1,"debt_consolidation",0.145,663.47,10.42228135,9.86,667,2940,8731,56.7,1,0,0,1
1,"credit_card",0.0768,155.96,11.45105006,15.29,777,4080,3839,6.2,0,0,0,0
0,"credit_card",0.1418,227.87,10.91508846,23.04,687,4079.958333,17568,66,4,0,0,0
1,"debt_consolidation",0.1008,646.1,11.00209984,10.06,742,3960,6688,39.1,0,0,0,0
0,"all_other",0.16,175.79,10.83368119,5.82,677,3029.958333,49082,0,0,0,0,1
1,"debt_consolidation",0.1126,525.82,11.40756495,8.83,742,7499.958333,19123,53,1,0,0,0
1,"debt_consolidation",0.1496,443.46,11.17369743,9.37,672,2940,1142,11.8,0,0,0,0
1,"credit_card",0.1316,81.05,11.1844214,1.05,697,3630,1229,30,1,0,3,0
1,"all_other",0.0894,324.07,11.35040654,0,757,3910.958333,6473,11.6,3,0,0,0
1,"all_other",0.074,217.42,10.96127785,21.96,787,11160.04167,6545,10.7,0,0,0,0
1,"debt_consolidation",0.1148,105.5,10.66895539,21.43,712,3664,11262,27.1,1,0,0,0
1,"debt_consolidation",0.1183,662.68,11.56171563,13.87,757,5471,11179,3.5,0,0,0,0
1,"educational",0.1568,87.51,10.3768605,23.88,667,1499.958333,8072,92.8,1,0,0,1
1,"educational",0.0774,218.54,11.56171563,7.43,747,6930,31183,35.1,1,0,0,0
1,"credit_card",0.08,188.02,10.69194491,16.96,757,4440,3628,9.3,0,0,0,0
1,"educational",0.16,225.01,10.30895266,5.76,667,1290.041667,395,1.7,2,1,0,0
1,"all_other",0.1218,199.8,10.85013987,4.68,722,2040.041667,4342,46.2,0,0,0,0
1,"debt_consolidation",0.0788,330.01,10.46310334,21.63,742,4650.041667,11071,37.4,0,0,0,0
0,"debt_consolidation",0.1392,474.51,11.17605315,24.05,717,3210.041667,2061,34.3,7,0,0,0
1,"major_purchase",0.1496,242.52,10.6454249,3.71,667,1920,1747,43.7,0,0,0,0
1,"all_other",0.1739,143.39,10.8704714,13.19,662,3030,24666,99.1,0,0,0,0
0,"debt_consolidation",0.1531,278.53,11.05879518,17.37,667,2313.041667,23600,78.9,4,0,0,0
0,"credit_card",0.1028,81,9.298351249,7.14,692,3964,0,0,1,0,0,0
1,"debt_consolidation",0.1505,520.37,10.81985828,10.63,677,4470.041667,14761,77.3,0,1,0,0
0,"all_other",0.087,158.31,10.24065669,1.8,722,900,827,51.7,2,0,0,1
0,"debt_consolidation",0.1347,271.39,11.25161265,7.84,697,3990,6700,45,4,0,0,0
0,"all_other",0.1312,202.52,11.55214618,6.95,652,3510.041667,1189,79.3,0,0,0,0
0,"small_business",0.1505,693.83,11.04611673,6.68,717,2283,7657,21.2,7,0,0,0
1,"debt_consolidation",0.08,219.36,10.69194491,16.04,777,3389.958333,752,1.9,1,0,0,0
0,"all_other",0.1459,137.86,10.08580911,1.15,732,1230.041667,972,11.3,5,0,0,0
1,"debt_consolidation",0.1218,166.5,10.88743693,10.5,692,6119.958333,4819,55.3,0,0,0,0
1,"all_other",0.1322,676.02,11.01862914,9.68,712,6119.958333,1284,6.3,3,0,1,0
1,"debt_consolidation",0.1284,50.43,10.92233487,23.09,672,4560.958333,31698,79.2,3,0,0,0
1,"debt_consolidation",0.1273,134.27,10.59663473,9.36,697,4921.041667,4498,73.7,3,0,0,0
1,"debt_consolidation",0.1474,518.06,11.3736634,23.49,682,4500.041667,28766,0.1,1,0,0,0
1,"credit_card",0.1229,183.45,10.4341158,20.56,687,1410,4029,24,1,0,0,0
1,"debt_consolidation",0.1148,791.25,11.51292546,12.68,792,6780.041667,23092,25.7,0,0,0,0
1,"all_other",0.1099,163.68,10.858999,6.55,692,3510.041667,958,12.1,1,0,1,0
1,"home_improvement",0.1316,151.97,9.392661929,11.5,742,4531.041667,3954,24,5,0,0,0
1,"debt_consolidation",0.1178,165.55,11.22524339,1.84,702,5430,5104,44.4,1,0,0,0
1,"home_improvement",0.0932,319.47,10.9331784,12.62,777,3330,798,4.9,0,0,0,0
1,"home_improvement",0.1392,40.97,10.22557105,11.87,672,4916.041667,9228,93.2,0,0,0,0
1,"debt_consolidation",0.1387,477.61,11.04292184,20.45,677,2675,20065,66,2,0,0,0
0,"debt_consolidation",0.1343,339.02,11.40529571,4.78,657,3720.041667,7455,93.2,1,2,0,0
1,"major_purchase",0.1317,212.79,11.18007865,18.95,677,6329.958333,7595,87.3,0,0,0,0
1,"credit_card",0.1183,222,11.23511451,12.74,712,4164,71116,72.1,3,0,0,0
1,"debt_consolidation",0.1632,565.02,11.08214255,20.22,687,5340.041667,16731,96.2,1,0,1,0
1,"all_other",0.1426,445.98,10.59663473,23.85,687,4440.041667,24119,91.7,0,0,0,0
1,"all_other",0.0963,96.29,10.30895266,0.68,717,2820,893,38.8,0,0,0,0
1,"debt_consolidation",0.0963,462.16,11.06657586,16.78,762,4560.041667,11160,14.9,1,0,0,0
1,"all_other",0.1253,66.94,11.04132055,4.02,677,2130,8160,54,2,0,1,0
1,"all_other",0.1001,242.04,11.27720313,15.21,727,4979.958333,2801,6.7,0,1,0,0
1,"debt_consolidation",0.1287,50.45,9.798127037,19.8,687,2340.041667,6454,86.1,0,0,0,0
0,"all_other",0.0807,136.45,11.69524702,4,742,4080,0,22.1,6,0,0,0
0,"all_other",0.1568,210.01,11.40756495,8.28,667,3719.958333,13841,44.9,5,1,0,0
1,"debt_consolidation",0.1426,205.84,11.15619338,18.4,682,3962.958333,9442,92.6,2,0,0,0
1,"debt_consolidation",0.1496,519.68,11.1124479,13.81,687,2640,13217,96.5,0,0,0,0
1,"all_other",0.1426,274.45,11.39075783,11.61,682,2610.041667,15514,77.2,0,0,0,1
1,"debt_consolidation",0.1253,133.87,10.91508846,3.01,702,2970,3888,74.8,0,0,0,0
1,"credit_card",0.1531,870.39,11.72737243,16.65,707,10590,40413,85.6,0,0,0,0
1,"credit_card",0.1221,399.78,10.74720759,23.69,712,6360.041667,147,0.5,3,0,0,0
1,"debt_consolidation",0.1218,499.5,11.33857208,24.66,722,11159.95833,22319,58.7,0,2,0,0
1,"small_business",0.1221,499.73,11.22524339,15.02,722,5400,40882,31.8,2,0,0,0
1,"debt_consolidation",0.1253,435.07,11.33857208,17,702,4950,14750,66.1,1,0,0,0
1,"all_other",0.1148,158.25,11.50690739,23.76,742,6240,57542,24.2,0,0,0,0
0,"major_purchase",0.1392,136.55,10.34174248,13.24,682,5851,577,14.1,5,2,1,0
0,"home_improvement",0.2052,681.19,13.01700286,14.1,697,3539.958333,27286,56.5,10,1,0,0
0,"credit_card",0.1545,645.4,11.1611812,28.78,717,7529.041667,69744,76.1,1,0,0,0
1,"debt_consolidation",0.1126,447.77,10.30895266,16.8,727,3330,15286,41.7,1,0,0,0
0,"educational",0.16,70.32,10.1266311,18.72,687,3660,3811,15.6,8,0,0,0
1,"credit_card",0.1099,327.36,10.08580911,16.15,712,2520,6940,49.7,2,0,0,0
1,"debt_consolidation",0.1114,423.17,11.00209984,6.24,742,3990,12419,34.8,0,0,0,0
1,"debt_consolidation",0.1114,164.02,10.46310334,7.71,722,5399.958333,6896,41.8,0,0,0,0
1,"debt_consolidation",0.1025,161.93,11.03488966,8.65,717,3630,1158,10.5,2,0,0,0
1,"major_purchase",0.0988,80.53,10.30895266,21.16,717,2280,7747,61,1,0,0,0
1,"debt_consolidation",0.2121,816.14,11.03488966,15.45,667,3120.041667,10190,98.9,1,0,0,0
1,"credit_card",0.0963,320.95,10.30092049,7.38,777,5100,2770,9.1,0,1,0,0
1,"debt_consolidation",0.167,710.03,11.69524702,3.88,692,4650.958333,16725,99,1,0,0,0
1,"educational",0.1496,176.7,10.08580911,22.8,682,5520,5327,95.1,3,0,0,0
1,"all_other",0.0737,62.1,10.46310334,0.86,797,11430,324,0.2,0,0,0,0
1,"all_other",0.1459,448.05,10.73639668,22.98,677,3288,7719,55.9,0,0,0,0
1,"credit_card",0.1241,614.76,11.59910316,14.38,702,5640.041667,56969,89.6,1,0,0,0
1,"all_other",0.0774,273.17,11.91839057,0.9,782,12450,5016,17.9,0,0,0,0
1,"home_improvement",0.0932,159.74,10.81985828,1.39,777,6930,2294,6.1,0,0,0,0
0,"small_business",0.1979,555.86,12.94800999,8.76,682,5009.958333,374487,89.6,1,0,0,0
1,"all_other",0.1095,32.72,10.37967204,15.43,717,3899.958333,0,0,0,0,0,0
0,"debt_consolidation",0.1615,176.16,10.93310697,24.36,652,7379,10402,81.9,3,0,0,1
1,"credit_card",0.0894,381.26,11.46163217,15.52,762,4020,10221,21.8,0,0,0,0
1,"all_other",0.0907,238.75,11.00209984,4.86,752,7626.958333,8575,25,1,0,0,0
1,"credit_card",0.0963,192.57,10.34817337,22.46,732,2640,11049,28.3,0,0,0,0
1,"major_purchase",0.1126,262.91,11.00209984,4.46,742,2550,4824,47.8,2,0,0,0
1,"all_other",0.1392,81.93,10.18111929,21,732,7560,6704,98.6,1,0,0,1
1,"all_other",0.1704,214.05,10.26813067,12.42,662,2160,8765,95.3,1,0,0,0
1,"all_other",0.092,175.42,10.51867319,16.74,727,4590.041667,6566,48.6,1,0,0,0
0,"home_improvement",0.1861,241.55,11.9511804,28.17,657,7380,28519,89.1,4,0,1,1
1,"debt_consolidation",0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0
1,"major_purchase",0.0859,316.11,11.19821472,6.87,767,3509.958333,11140,13,0,0,0,0
1,"all_other",0.1253,133.87,10.75798798,1.07,732,1140,1332,19.9,0,0,0,0
1,"debt_consolidation",0.0988,483.16,11.41861479,15.93,762,5642.041667,8226,18.1,0,0,0,0
0,"all_other",0.1292,201.94,10.04324949,6.94,662,1800,6934,75.4,12,0,1,1
1,"debt_consolidation",0.1322,135.21,9.76995616,14.13,677,5759.958333,9874,62.5,1,0,0,0
1,"credit_card",0.1496,426.14,11.1844214,6.43,667,5880,5422,46.7,1,0,0,0
1,"home_improvement",0.0894,317.72,11.23413706,5.58,762,2430,66,0.5,3,0,0,0
1,"debt_consolidation",0.0775,202.94,10.77895629,13.53,787,10260.04167,10742,8.9,3,0,0,0
1,"debt_consolidation",0.16,351.58,10.49127422,20.2,662,4169.958333,25274,93.6,0,0,0,0
1,"major_purchase",0.1379,170.38,10.81985828,24.07,687,3030,4305,56.6,3,1,0,1
0,"credit_card",0.1253,200.8,11.40756495,7.56,697,10440.04167,10721,38.6,4,0,0,0
1,"debt_consolidation",0.1136,658.23,11.03165864,18.64,722,4290.041667,58930,63.4,1,0,0,0
1,"debt_consolidation",0.1316,506.56,10.59663473,13.14,712,1950,2897,33.3,1,0,0,0
1,"credit_card",0.1322,202.81,10.62132735,4.71,702,7229.958333,5285,52.8,1,0,1,0
1,"debt_consolidation",0.0988,322.11,11.54482134,14.44,727,5730.041667,18111,69.1,0,0,0,0
1,"debt_consolidation",0.1821,290.07,10.55518754,10.76,672,1980.041667,9961,99.6,0,0,0,0
1,"debt_consolidation",0.0964,802.47,10.77895629,9.78,742,2550,8283,12.7,4,0,0,0
1,"debt_consolidation",0.1148,824.22,11.28978191,9.9,777,6120,30928,63,2,0,0,0
1,"small_business",0.16,421.89,10.89673933,11.2,702,3945.958333,5418,33.9,3,0,0,1
1,"debt_consolidation",0.1459,460.11,10.93310697,12.19,677,3270,9410,72.4,0,1,0,0
1,"all_other",0.0863,110.7,9.952277717,1.71,742,2345,1087,10.9,1,0,0,0
1,"all_other",0.074,124.24,9.852194258,4.93,787,4195.958333,2331,7.7,2,0,0,0
1,"debt_consolidation",0.0774,218.54,10.76848499,17.81,752,4770,7125,34.4,1,0,0,0
1,"debt_consolidation",0.1126,492.95,11.00209984,14.86,732,4169.958333,16439,57.9,0,0,0,0
